No,Title,Address,Phone,Rating,Reviews,Type,Hours
11,Champa Jogja,"Sekar Petak No.1, RT.001/RW.037, Gedongan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",,4.8,528,Cafe,"{Monday, 11.00 am–10.00 pm; Tuesday, 11.00 am–10.00 pm; Wednesday, 11.00 am–10.00 pm; Thursday, 11.00 am–10.00 pm; Friday, 11.00 am–10.00 pm; Saturday, 11.00 am–10.00 pm; Sunday, 11.00 am–10.00 pm}"
12,Coffee Nanku,"Jl. Kweni No.RT 001, Kweni, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",818948899,4.9,52,Coffee shop,
13,Coffee Shop | Omah Kopi 69,"Desa Wisata, Bendo, Wukirsari, Imogiri, Bantul Regency, Special Region of Yogyakarta 55782, Indonesia",#ERROR!,4.9,23,Coffee shop,Closed ⋅ Opens 2 PM
14,Coffee Wae,"58PJ+JGW, Jl. Tamantirto Kasihan Bantul No.451F, Brajan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",8973456078,4.6,762,,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
15,D'Barong Snack And Coffee,"39PF+P9F, Jl. Bakulan Imogiri Jl. Barongan, Barongan, Sumberagung, Jetis, Bantul Regency, Special Region of Yogyakarta 55781, Indonesia",#ERROR!,4.4,269,Coffee shop,Closed ⋅ Opens 4 PM
16,de EPISTEME coffee and library,"49V4+4PV, Cabean, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",81363368869,4.8,24,Coffee shop,
17,de Ngokow Coffee Roastery & Tea Club Jogja,"Jl. Bantul No.64, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142",87782176489,4.8,489,Coffee shop,
18,Dei Story Coffee,"38WC+4F2, Jl. Kh Wahid Hasyim, Taskombang, Palbapang, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55713",,5,27,Coffee shop,
19,Dho Coffee,"Jodog, Gilangharjo, Kec. Pandak, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55761",85186070182,4.6,54,Coffee shop,
20,Dippo Coffee and Eatery,"Balong, Timbulharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta, Indonesia",#ERROR!,4.7,116,Coffee shop,Open ⋅ Closes 11 PM
21,Dorpie Coffee,"Jl. Imogiri Barat No.KM 7, Semail, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55797",82322294977,4.8,"1,037",Cafe,"{Monday, 8.00 am–10.30 pm; Tuesday, 8.00 am–10.30 pm; Wednesday, 8.00 am–10.30 pm; Thursday, 8.00 am–10.30 pm; Friday, 8.00 am–10.30 pm; Saturday, 8.00 am–10.30 pm; Sunday, 8.00 am–9.30 pm}"
22,Dyes Coffee,"49H3+6G7, Tembi, Timbulharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55185, Indonesia",,4.8,33,Coffee shop,
23,Etten Coffee,"Ruko Perwita Regency, Jl. Salakan No.A2, Randubelang, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",0895-3882-88111,4.9,15,Cafe,"{Monday, 3.00–11.00 pm; Tuesday, 3.00–11.00 pm; Wednesday, 3.00–11.00 pm; Thursday, 3.00–11.00 pm; Friday, 3.00–11.00 pm; Saturday, 3.00–11.00 pm; Sunday, 3.00–11.00 pm}"
24,Fitto Coffee,"Jl. Pramuka No.30, Area Sawah, Trirenggo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714, Indonesia",#ERROR!,4.9,19,Coffee shop,Open ⋅ Closes 12 AM
25,Fruitcoffee bantul,"489P+X9X, Badegan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",85777845036,5,4,Coffee shop,
26,Haia Space,"Jl. Jend. Sudirman No.38, Bantul Wr., Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",85163640387,4.6,589,Coffee shop,
27,Hoad space,"5898+JF4, Ngentak, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",81227712749,4.6,98,Coffee shop,
28,Hope Coffee & Kitchen,"5945+49F, Pandes, Panggungharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55188",89635392300,4.9,17,Cafe,"{Monday, 12.00–11.00 pm; Tuesday, 12.00–11.00 pm; Wednesday, 12.00–11.00 pm; Thursday, 12.00–11.00 pm; Friday, 12.00–11.00 pm; Saturday, 12.00–11.00 pm; Sunday, 12.00–11.00 pm}"
29,Insieme Coffee,"Jl. Potromulyo No.93, Kragilan, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55191",,4.8,64,Coffee shop,
30,Jagongan Coffee Roasters,"Jl. Jogoripon, Jaranan, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta",8.95E+11,4.8,379,Coffee shop,
31,Javanesa Coffeee,"489G+52V, Jl. Gatot Subroto, Kurahan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",,5,478,Coffee shop,
32,JEMBLUNG COFFEE YOGYAKARTA,"58P8+4R8, Ngebel, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",,4.8,44,Coffee shop,
33,Jiwajawi Jogja,"Jl. Tugu Gentong Jl. Fasco Village, Salakan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",87713574413,4.5,"1,979",Cafe,"{Monday, 11.00 am–6.00 pm; Tuesday, 11.00 am–6.00 pm; Wednesday, 11.00 am–6.00 pm; Thursday, 11.00 am–6.00 pm; Friday, 11.00 am–6.00 pm; Saturday, 11.00 am–6.00 pm; Sunday, 11.00 am–6.00 pm}"
34,JOGLO NARETA CAFE,"Mriyan, Timbulharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta, Indonesia",#ERROR!,4.9,35,Coffee shop,
35,Kafe WKP Kauman,"Kauman, Wijirejo, Kec. Pandak, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55761",89529988688,4.9,47,Coffee shop,
36,Kaloka Space ꧋ꦏꦭꦺꦴꦭꦱ꧀ꦥꦕꦺ,"58MJ+RFJ, Brajan, Tamantirto, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184",81314040606,4.7,794,Cafe,"{Monday, 9.00 am–1.00 am; Tuesday, 9.00 am–1.00 am; Wednesday, 9.00 am–1.00 am; Thursday, 9.00 am–1.00 am; Friday, 9.00 am–1.00 am; Saturday, 9.00 am–1.00 am; Sunday, 9.00 am–1.00 am}"
37,Kamari Coffee,"Jl. Tamantirto Kasihan Bantul, Brajan, Tamantirto, Kec. Kasihan, Yogyakarta, Daerah Istimewa Yogyakarta 55184",83189940620,4.7,442,Coffee shop,
38,Kedai Khumai,"Unnamed Road, Patalan, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia",#ERROR!,4.6,25,Coffee shop,Open ⋅ Closes 1 AM
39,Kedai kopi BS,"Kembang Songo, Trimulyo, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta, Indonesia",#ERROR!,4.8,24,Coffee shop,Closed ⋅ Opens 6 PM
40,KEDAI KOPI WAWASIMA꧋ꦏꦼꦣꦻꦏꦺꦴꦥꦶꦮꦮꦱꦶꦩ,"Jl. Puri Sewon Asri No.27 Blok L, Sawit, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",85179887324,4.8,68,Coffee shop,
41,Kedai Rumah Putih,"Beran RT 01, Gaten, Canden, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia",#ERROR!,5,72,Coffee shop,Closed ⋅ Opens 5 PM
42,Kedai Tobrook by de Ngokow Coffee Roastery & Tea Club,"Jl. Perjuangan No.58, Jadan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",87782176489,4.9,61,Coffee shop,
43,Keinka Coffee Shop,"Bangeran, Sabdodadi, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55715, Indonesia",#ERROR!,4.8,10,Coffee shop,Closed ⋅ Opens 4 PM
44,Kelakon coffee and eatery,"Kalangan, Baturetno, Banguntapan, Bantul Regency, Special Region of Yogyakarta",81334455932,4.5,181,Cafe,"{Monday, 1.00 pm–12.00 am; Tuesday, 1.00 pm–12.00 am; Wednesday, 1.00 pm–12.00 am; Thursday, 1.00 pm–12.00 am; Friday, 1.00 pm–12.00 am; Saturday, 1.00 pm–12.00 am; Sunday, 1.00 pm–12.00 am}"
45,Kelana coffee house,"Area Sawah, Trirenggo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta",,4.9,59,Coffee shop,
46,Kini Kupi,"kalipucang, RT 04, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",82260220658,5,33,Coffee shop,
47,KOFFIE KITA,"49HR+58M, Jejeran II, Wonokromo, Kec. Pleret, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55791, Indonesia",,5,8,Coffee shop,Closed ⋅ Opens 5 PM
48,Kohi Coffee House & Space,"Jl. May Jen. Sutoyo, Nyangkringan, Bantul, Bantul Regency, Special Region of Yogyakarta 55711, Indonesia",,4.7,480,Coffee shop,Open ⋅ Closes 12 AM
49,Kopi Bantul Coffee & Roastery,"Jl. Bantul No.km 10, Badegan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714",817461374,4.7,110,Coffee shop,
50,Kopi Bulak Pari,"Sekarpetak, RT.01, Gedongan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",82135451979,4.4,804,Coffee shop,
51,Kopi Dari Hati & Toast Rooftop Bantul,"Jl. Jend. Sudirman No.60, Nyangkringan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",,4.9,63,Coffee shop,
52,Kopi Daus,"Manding RT 04, Sabdodadi, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55715, Indonesia",#ERROR!,4.1,12,Coffee shop,Open ⋅ Closes 12 AM
53,Kopi Demang,"kyai tamtoko Jl. Demangan Baru, Ponogaram, Jambidan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55195",#ERROR!,4.4,65,Coffee shop,Open 24 hours
54,Kopi Jahat Tamantirto,"Ngrame, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",85179985885,4.5,526,Coffee shop,
55,Kopi Joglo Bu Marjuki Ngaglik Bantul,"Jl. Parangtritis No.Km 12,5, Ngaglik, Patalan, Jetis, Bantul Regency, Special Region of Yogyakarta 55781, Indonesia",#ERROR!,4.8,49,Coffee shop,Open ⋅ Closes 10 PM
56,Kopi Kenangan - Godean Yogyakarta,"Jl. Godean No.23B, Kembang, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",81944218570,4.2,85,Cafe,
57,Kopi Keris Mugi Slamet,"banyusumurup rt07, Pajimatan Payaman Utara, Girirejo, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782, Indonesia",#ERROR!,4.4,140,Coffee shop,Open ⋅ Closes 12 AM
58,Kopi Keyong - Cafe Pancasila,"Jl. Manding Imogiri, Dukuh, Sabdodadi, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55715, Indonesia",#ERROR!,4.6,179,Coffee shop,Closed ⋅ Opens 6 PM
59,Kopi Loka,"Jl. Kp. Sawo 3, Pulo Kadang, Canden, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia",,4.5,10,Coffee shop,Open ⋅ Closes 11 PM
60,Kopi Pangerten,"Jl. KH. Ali Maksum, Glondong, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",81226028997,4.8,32,Cafe,"{Monday, 3.00 pm–12.00 am; Tuesday, 3.00 pm–12.00 am; Wednesday, 3.00 pm–12.00 am; Thursday, 3.00 pm–12.00 am; Friday, 3.00 pm–12.00 am; Saturday, 3.00 pm–12.00 am; Sunday, 3.00 pm–12.00 am}"
61,Kopi paseduluran,"Jl. Samas No.RT 03, Taruban, Palbapang, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55713",82340982244,4.8,96,Coffee shop,
62,Kopi Sosok (ꦏꦺꦴꦥꦶꦱꦺꦴꦱꦺꦴꦏ꧀),"4CHG+8F, Jambon, Bawuran, Pleret, Bantul Regency, Special Region of Yogyakarta 55791, Indonesia",,4.7,12,Coffee shop,
63,Kopi Tempuran (TEMPURAN SPACE),"Jl. Plataran No.9, Sembungan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",,4.5,285,Coffee shop,
64,Kopi Tirto,"Jl. Parangtritis No.KM 8, Balong, Timbulharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",88215990172,4.5,22,Coffee shop,
65,Kopi Wongso,"Sewon, Ngasem RT 06, Timbulharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55185, Indonesia",,3.9,367,Coffee shop,
66,KOPIIAN,"485M+2C7, Bejen, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",,5,17,Coffee shop,
67,Kulik Coffee,"Jl. Tj. Raya, Jadan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",82246052884,4.9,28,Cafe,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
68,La Tir Coffee,"Jeblog, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",82135376665,4.4,472,Coffee shop,
69,Lizard Coffee Yogyakarta,"Green Plaza, Ruko Jl. Godean No.Km. 2 Kav. 16, Kembang, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",81250200300,4.7,163,,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, Closed}"
70,Lutte Cafe Yk,"5962+J68, Jl. Bantul, Glondong, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",85641704624,5,11,Coffee shop,
71,Mafaza Coffee Tembi,"Tembi, Timbulharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55186, Indonesia",#ERROR!,5,41,Coffee shop,Closed ⋅ Opens 6 PM
72,Malibu Yogyakarta,"Jl. Mranggen No.99, Ngrame, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",85183297226,4.4,208,Coffee shop,
73,Mampeer Coffee & Me Jawa,"Jalan Monumen TNI AU Kerobokan RT 02, Krobokan, Tamanan, Banguntapan, Bantul Regency, Special Region of Yogyakarta 55191",82137509440,4.5,593,Coffee shop,
74,Mantra Bumi Coffee,"No Jl. Parangtritis No.364, Pandes, Panggungharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55188",82220364946,4.4,"1,130",Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
75,Marko Milk and Coffee,"Wates St KM.3 No.68, Sonosewu, Ngestiharjo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55182",,4.4,"3,712",,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
76,Mata Kopian,"Ngoto, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",88215572160,4.7,634,Coffee shop,
77,MATCHABOY BANTUL,"486H+R88, Jl. Jend. Sudirman, Kurahan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",,4.9,54,Coffee shop,
78,Memoria Cafe & Event Space,"Jl. Srandakan No.RT 04, Gedongsari, Wijirejo, Kec. Pandak, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55761",81226604397,4.6,603,Coffee shop,
79,Menakar Coffee and Companion Space,"58P8+JXF, Jl. Bunga, Geblagan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",,4.9,681,Coffee shop,
80,Merakyat Coffee Headquarter,"Jl. Krandohan, Pendowoharjo, Sewon, Area Sawah, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55186",,4.9,294,Coffee shop,
81,Moon Cafe Yogyakarta,"Jl. Sungapan No.4, Jetis, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55183",,4.5,227,Coffee shop,
82,Moonlight Coffee,"Geneng, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",85213128585,4.7,280,Coffee shop,
83,Nabe Coffee Soragan,"Jl. Soragan No.29, Soragan, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",87778928088,4.6,712,Cafe,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
84,NAMASTE | COFFEE & EATERY,"Puton, Trimulyo, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta",87716665565,4.9,11,Coffee shop,
85,Nenas 114,"Jl. Kh. Ahmad Dahlan No.17, Nyangkringan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",,4.5,169,Coffee shop,
86,Ngunjuk Kopi,"38WC+4F2, Jl. Kh Wahid Hasyim, Taskombang, Palbapang, Bantul, Bantul Regency, Special Region of Yogyakarta 55713, Indonesia",,5,27,Coffee shop,Open ⋅ Closes 10 PM
87,Nika Coffee,"49C2+VHQ Pasar Seni Gabusan, Jl. Parangtritis, Sewon, Balong, Timbulharjo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55185",82133299973,5,2,Coffee shop,
88,Omah Dhuwur Coffee & Dining,"Jl. Mondorakan No.252, Bodon, Jagalan, Kec. Kotagede, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55192",(0274)374952,4.5,"2,165",Cafe,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
89,Omah Kembang Putihan - Kopi Selarong (buka by reservasi),"Jl. Gua Selarong No.77, Kembang Putihan, Guwosari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751",87863431133,4.4,96,Coffee shop,
90,"Omah Limasan ""Angkringan & Cafe""","39HP+723, Dongkelan, Paduresan, Imogiri, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta, Indonesia",,5,12,Coffee shop,Closed ⋅ Opens 6 PM
91,OMAHKOPI BAKULAN Warung Kopi Nusantara,"Bakulan Wetan, Patalan, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia",#ERROR!,4.4,47,Coffee shop,Open ⋅ Closes 10 PM
92,Paddys Cafe & Eatery,"Jl. Pramuka No.10, Krandohan, Trirenggo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714",85940752755,4.5,474,Cafe,"{Monday, 11.00 am–11.00 pm; Tuesday, 11.00 am–11.00 pm; Wednesday, 11.00 am–11.00 pm; Thursday, 11.00 am–11.00 pm; Friday, 11.00 am–11.00 pm; Saturday, 11.00 am–11.00 pm; Sunday, 11.00 am–11.00 pm}"
93,Pak Kanjeng Coffee & Grilll,"Unnamed Road, Area Sawah, Trirenggo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714",85870447562,4.7,218,Coffee shop,
94,Pas Podjok Coffee & Eatery,"Jalan Professor Doktor Wirjono Projodikoro, Jl. Ringroad Selatan Tegal Krapyak No.RT.01, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",,4.6,"1,114",Cafe,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
95,Passion Coffee,"Jl. Kenanga No.7, Gedongan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",81329882738,4.6,156,Coffee shop,
96,Pelataran Puan Kopi & Tumbuh,"JL. Jomogatan, Kasihan, Bantul. No 0 Rt, RW.7, Jomegatan, Ngestiharjo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55186",85212214141,4.6,492,Coffee shop,
97,Pepper rice&ice coffe latte fresh,"489P+78G, Jl mgr sugiyopranoto, Badegan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta",,4.5,31,Coffee shop,
98,Poin Coffee & Gadget,"Jl. Sultan Agung No.20, Ngentak, Timbulharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55186, Indonesia",#ERROR!,5,12,Coffee shop,Closed ⋅ Opens 6:30 PM
99,Point Coffee,"Jl. Dr. Wahidin Sudiro Husodo No.RT10 RW KEL, Karangbayam, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714",1500280,4.5,13,Coffee shop,
100,Poma Coffee and Resto,"Jl. Marsda Adisucipto No.47, Area Sawah, Trirenggo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 40115",81936723054,4.6,214,Coffee shop,
101,Pour Over Coffee Indonesia,"Karangjati RT. 05 Pedukuhan V Jetis Tamantirto Kasihan, Jetis, Tamantirto, Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55183",,4.7,153,Coffee shop,
102,R3 CAFE,"Brajan, Tamantirto, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184",85325438689,4.3,897,,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
103,Rèmen Coffee,"Jl. Parangtritis No.KM.11, Dukuh, Sabdodadi, Bantul, Bantul Regency, Special Region of Yogyakarta 55715, Indonesia",,5,7,Coffee shop,Open ⋅ Closes 3 PM
104,RJA Coffee Indonesia d.h. Cieriek Kopi Indonesia,"Jl. Menayu Lor 2, Kersan, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",818948957,4.8,212,Coffee shop,
105,Saorsa Kopi Selatan,"Jl. Nitiprayan No.1 RT 01, Tegal Kenanga, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55181",8991745660,4.7,764,Coffee shop,
106,Sastro's Coffee,"Jl. Tembi No.RT.07, Gatak, Timbulharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55186, Indonesia",#ERROR!,4.7,399,Coffee shop,Closed ⋅ Opens 5 PM
107,Satt Coffee Roaster,"Ngentak, Timbulharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55185, Indonesia",#ERROR!,4.8,69,Coffee shop,Open ⋅ Closes 10:30 PM
108,Savasana Coffee and Event Space,"Jl. Selarong No.15a, Area Sawah, Pendowoharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55185",85747571333,4.7,358,Coffee shop,
