No,Name Cafe,Place,Address,Phone,Rating,Reviews,Type,Hours
17,Azen Coffee Mahkota,,"Jl. Urip Sumoharjo No.48, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",87738342829,4.7,65,Cafe,"{Monday, 4.00 pm–1.00 am; Tuesday, 4.00 pm–1.00 am; Wednesday, 4.00 pm–1.00 am; Thursday, 4.00 pm–1.00 am; Friday, 4.00 pm–1.00 am; Saturday, 4.00 pm–1.00 am; Sunday, 4.00 pm–1.00 am}"
18,Azen Coffee Malioboro,,"Jl. Suryatmajan No.39, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",87738342829,4.7,370,,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
19,B Coffee,Jogja,"Jl. Jogokaryan No.61-63, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",82125358383,4.8,387,Cafe,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
20,BAH Drink & Eatery,Gendokusuman,"697P+QJ6, Jl. Tri Brata, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",,4.9,48,Cafe,"{Monday, Closed; Tuesday, 4.00 pm–1.30 am; Wednesday, 4.00 pm–1.00 am; Thursday, 4.00 pm–1.00 am; Friday, 4.00 pm–1.00 am; Saturday, 4.00 pm–2.00 am; Sunday, 4.00 pm–1.30 am}"
21,Balcos Compound,Jogja,"6CF2+CRF, Jl. Nologaten, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82117549291,4.5,"1,247",Cafe,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
22,Bestfrengs Yogyakarta,Sleman,"Jl. Pandega Sakti No.3, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",82244029460,5,13,Cafe,"{Monday, 2.00–10.00 pm; Tuesday, 2.00–10.00 pm; Wednesday, 2.00–10.00 pm; Thursday, 2.00–10.00 pm; Friday, 2.00–10.00 pm; Saturday, 2.00–10.00 pm; Sunday, 2.00–10.00 pm}"
23,Blanco Coffee And Books,,"Jl. Kranggan No.30, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",,4.6,"4,011",,"{Monday, 7.00 am–12.00 am; Tuesday, 7.00 am–12.00 am; Wednesday, 7.00 am–12.00 am; Thursday, 7.00 am–12.00 am; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
24,Blok House,,"69GG+45X GIK UGM, Jl. Persatuan, Sendowo, Sinduadi, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55223",0895-8066-85207,4.9,77,Cafe,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
25,Bloomery Atelier Yogyakarta,Jogja,"Jl. Jambon No.43 B, Rogoyudan, Kricak, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55242",82137444576,4.8,887,Cafe,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
26,Blue Heron,Sleman,"Jl. Asem Gede No.23, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82228888220,4.8,525,Cafe,"{Monday, 11.00 am–4.00 pm; Tuesday, 6.30 am–10.00 pm; Wednesday, 6.30 am–9.00 pm; Thursday, 6.30 am–10.00 pm; Friday, 6.30 am–9.00 pm; Saturday, 6.30 am–10.00 pm; Sunday, 6.30 am–10.00 pm}"
27,Boy Sip & Bites,Jogja,"Jl. Pakuningratan No.56A, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",85283836090,4.1,56,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–11.00 pm}"
28,BRICafe X Couvee,,"Jl. Sagan Tim. No.123, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",(0274)5012463,4.5,"1,826",Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–11.00 pm}"
29,Bumi Seduh Coffee,,"Jl. Patih Singoranu, Kragilan, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55191",81329308832,4.6,"1,056",,"{Monday, 9.00 am–1.00 am; Tuesday, 9.00 am–1.00 am; Wednesday, 9.00 am–1.00 am; Thursday, 9.00 am–1.00 am; Friday, 9.00 am–1.00 am; Saturday, 9.00 am–1.00 am; Sunday, 9.00 am–1.00 am}"
30,Bura Bura Coffee,,"Ruko Cokro Square, Jl. HOS Cokroaminoto No.Kav 0 Blok Kav N, Tegalrejo, Yogyakarta City, Special Region of Yogyakarta 55244",8113228056,4.7,399,,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–11.00 pm}"
31,Butterhalf Palagan,Sleman,"Jl. Palagan Tentara Pelajar No.126, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",8112909975,4.8,54,Cafe,"{Monday, 7.00 am–9.00 pm; Tuesday, 7.00 am–9.00 pm; Wednesday, 7.00 am–9.00 pm; Thursday, 7.00 am–9.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–9.00 pm}"
32,C28 Social Space - Malioboro,,"Jl. Kemetiran Lor No.6, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",85179966809,5,"6,683",Cafe,Open 24 Hours
33,C28 Social Space - Urip Sumoharjo,Jogja,"Jl. Urip Sumoharjo No.103H, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",85179966809,5,"5,295",Cafe,Open 24 Hours
34,Cafe Bico,,"69M7+F9W, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",,4.8,140,Cafe,"{Monday, 8.00 am–7.00 pm; Tuesday, 8.00 am–7.00 pm; Wednesday, 8.00 am–7.00 pm; Thursday, 8.00 am–7.00 pm; Friday, 8.00 am–7.00 pm; Saturday, 8.00 am–7.00 pm; Sunday, Closed}"
35,Canie Coffee & Space,,"Jl. Pandega Marta No.99, RT.03 RW01/RW.Kalurahan, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",81138239900,4.5,303,Cafe,"{Monday, 9.00 am–12.30 am; Tuesday, 9.00 am–12.30 am; Wednesday, 9.00 am–12.30 am; Thursday, 9.00 am–12.30 am; Friday, 9.00 am–12.30 am; Saturday, 9.00 am–12.30 am; Sunday, 9.00 am–12.30 am}"
36,CAPSLOCK COFFEE,,"Blk. A No.a15, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",8982252555,4.5,343,Cafe,"{Monday, 9.00 am–11.30 pm; Tuesday, 9.00 am–11.30 pm; Wednesday, 9.00 am–11.30 pm; Thursday, 9.00 am–11.30 pm; Friday, 9.00 am–11.30 pm; Saturday, 9.00 am–11.30 pm; Sunday, 9.00 am–11.30 pm}"
37,Carney Co,,"Jl. Garuni II, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.5,"2,333",,"{Monday, 10.00 am–1.00 am; Tuesday, 10.00 am–1.00 am; Wednesday, 10.00 am–1.00 am; Thursday, 10.00 am–1.00 am; Friday, 10.00 am–1.00 am; Saturday, 10.00 am–1.00 am; Sunday, 10.00 am–1.00 am}"
38,Champa Jogja,Bantul,"Sekar Petak No.1, RT.001/RW.037, Gedongan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",,4.8,528,Cafe,"{Monday, 11.00 am–10.00 pm; Tuesday, 11.00 am–10.00 pm; Wednesday, 11.00 am–10.00 pm; Thursday, 11.00 am–10.00 pm; Friday, 11.00 am–10.00 pm; Saturday, 11.00 am–10.00 pm; Sunday, 11.00 am–10.00 pm}"
39,Chandari Heaven,,"Sumberwatu, Sambirejo, Prambanan, Sleman Regency, Special Region of Yogyakarta 55572",(0274)2855118,4.7,"2,943",Cafe,"{Monday, 9.00 am–8.00 pm; Tuesday, 9.00 am–8.00 pm; Wednesday, 9.00 am–8.00 pm; Thursday, 9.00 am–8.00 pm; Friday, 9.00 am–8.00 pm; Saturday, 9.00 am–8.00 pm; Sunday, 9.00 am–8.00 pm}"
40,Cheri Patisseries & Brasseries,Jogja,"Jl. Kranggan No.28, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",82136701591,4.5,657,Cafe,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
41,Coconut Coffee & Eatery Palagan,,"Jl. Pandhawa, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81770455890,4.8,924,Cafe,"{Monday, 8.00 am–10.00 pm; Tuesday, 8.00 am–10.00 pm; Wednesday, 8.00 am–10.00 pm; Thursday, 8.00 am–10.00 pm; Friday, 8.00 am–10.00 pm; Saturday, 8.00 am–10.00 pm; Sunday, 8.00 am–10.00 pm}"
42,Coffee Wae,murah,"58PJ+JGW, Jl. Tamantirto Kasihan Bantul No.451F, Brajan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",8973456078,4.6,762,,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
43,Coklat Cafe,,"Jl. Cik Di Tiro No.19, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",(0274)546446,4.5,"2,151",Cafe,"{Monday, 11.00 am–11.00 pm; Tuesday, 11.00 am–11.00 pm; Wednesday, 11.00 am–11.00 pm; Thursday, 11.00 am–11.00 pm; Friday, 11.00 am–11.00 pm; Saturday, 11.00 am–12.00 am; Sunday, 11.00 am–11.00 pm}"
44,Cold 'N Brew Parangtritis,,"Daerah Istimewa, Jl. Parangtritis No.139, Brontokusuman, Mergangsan, Yogyakarta City, Special Region of Yogyakarta 55143",(0271)6793355,4.6,"1,416",,"{Monday, 7.00 am–1.00 am; Tuesday, 7.00 am–1.00 am; Wednesday, 7.00 am–1.00 am; Thursday, 7.00 am–1.00 am; Friday, 7.00 am–1.00 am; Saturday, 7.00 am–1.00 am; Sunday, 7.00 am–1.00 am}"
45,COLORTONES Koffie & Studio,murah,"Jl. Bakung No.21, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55225",81227997911,4.9,232,,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
46,Copenhagen - Jakal,,"Kaliurang St No.KM.9, Gondangan, Sardonoharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",81127009989,4.9,427,Cafe,"{Monday, 7.00 am–2.00 am; Tuesday, 7.00 am–2.00 am; Wednesday, 7.00 am–2.00 am; Thursday, 7.00 am–2.00 am; Friday, 7.00 am–2.00 am; Saturday, 7.00 am–2.00 am; Sunday, 7.00 am–2.00 am}"
47,COSAN - Demangan,,"Jl. Demangan Baru No.29, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",85959145708,4.5,856,Cafe,"{Monday, 7.00 am–12.00 am; Tuesday, 7.00 am–12.00 am; Wednesday, 7.00 am–12.00 am; Thursday, 7.00 am–12.00 am; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
48,Cosan - Jakal,Gunung Kidul,"Km 5, Jl. Kaliurang Jl. Srinindito No.8, Pogung Kidul, Caturtunggal, Kec. Mlati, Yogyakarta, Daerah Istimewa Yogyakarta 55281",85959145708,4.5,"1,213",Cafe,"{Monday, 8.00 am–10.30 pm; Tuesday, 8.00 am–10.30 pm; Wednesday, 8.00 am–10.30 pm; Thursday, 8.00 am–10.30 pm; Friday, 8.00 am–10.30 pm; Saturday, 8.00 am–10.30 pm; Sunday, 8.00 am–10.30 pm}"
49,COSAN - Kotabaru,,"Jl. Patimura No.3, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",,4.5,285,Cafe,"{Monday, 6.00 am–12.00 am; Tuesday, 6.00 am–12.00 am; Wednesday, 6.00 am–12.00 am; Thursday, 6.00 am–12.00 am; Friday, 6.00 am–12.00 am; Saturday, 6.00 am–12.00 am; Sunday, 6.00 am–12.00 am}"
50,COSAN - Seturan,,"Jl. Seturan Raya No.6, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.3,816,Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
51,COSAN Reserve at Harper Malioboro,,"Jl. P. Mangkubumi No.52, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",82139228074,4.4,267,Cafe,"{Monday, 6.00 am–12.00 am; Tuesday, 6.00 am–12.00 am; Wednesday, 6.00 am–12.00 am; Thursday, 6.00 am–12.00 am; Friday, 6.00 am–12.00 am; Saturday, 6.00 am–12.00 am; Sunday, 6.00 am–12.00 am}"
52,Couvee - Ahmad Dahlan,,"Jl. KH. Ahmad Dahlan No.90, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261",82243105790,4.6,"2,698",Cafe,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
53,Couvee - Jalan Kaliurang,,"KM 5, Kaliurang St Jl. Pandega Karya No.18, RW.6, Manggung, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55281",,4.6,"2,294",Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
54,Couvee - Palagan (Take Away Store),Sleman,"Jl. Kranji Jl. Krikilan, RT.06/RW.22, Randuguang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",85742288443,4.7,122,Cafe,"{Monday, 9.00 am–9.00 pm; Tuesday, 9.00 am–9.00 pm; Wednesday, 9.00 am–9.00 pm; Thursday, 9.00 am–9.00 pm; Friday, 9.00 am–9.00 pm; Saturday, 9.00 am–9.00 pm; Sunday, 9.00 am–9.00 pm}"
55,Couvee - Plaza Ambarrukmo,,"Plaza Ambarrukmo, Jl. Laksda Adisucipto, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",8112950195,4.4,65,Cafe,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
56,Couvee - Seturan,,"Jl. Seturan Raya No.88, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",81215952236,4.6,"2,292",Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
57,Couvee - Taman Siswa,,"Jl. Taman Siswa No.117, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",8112950195,4.6,476,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–11.00 pm}"
58,Couvee Reside,,"Jl. Sagan Kidul No.4, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",,4.5,44,Cafe,"{Monday, 7.00 am–11.30 pm; Tuesday, 7.00 am–11.30 pm; Wednesday, 7.00 am–11.30 pm; Thursday, 7.00 am–11.30 pm; Friday, 7.00 am–11.30 pm; Saturday, 7.00 am–11.30 pm; Sunday, 7.00 am–11.30 pm}"
59,CUPP it Coffee & Bread,,"Jl. Bhayangkara No.18, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",,4.8,86,,Open 24 Hours
60,CW Coffee & Eatery Seturan Jogja,Seturan,"6CG5+RMG, Jl. Seturan Raya, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4,383,Cafe,Open 24 Hours
61,CW Coffee Cikditiro,,"Jl. Cik Di Tiro No.37, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",8115736900,3.9,468,Cafe,Open 24 Hours
62,D'AGRO FINE COFFEE YK,,"Jl. Urip Sumoharjo No.100, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",85183024420,4.8,49,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–10.30 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
63,Dasawarsa Coffee Roasters,,"Jl. Poncowinatan No.79, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",,4.7,392,,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
