No,Title,Address,Phone,Rating,Reviews,Type,Hours
11,Kopi Tempuran (TEMPURAN SPACE),"Jl. Plataran No.9, Sembungan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",,4.5,289,Coffee shop,"{Monday, 9.00 am–6.00 pm; Tuesday, 9.00 am–6.00 pm; Wednesday, 9.00 am–6.00 pm; Thursday, 9.00 am–6.00 pm; Friday, 9.00 am–6.00 pm; Saturday, 9.00 am–6.00 pm; Sunday, 9.00 am–6.00 pm}"
12,Lestari Corner Coffee,"Jl. Nangka, Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.7,"2,326",Coffee shop,Open 24 Hours
13,Milk n Matcha - Palagan,"79FJ+J4P, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81128509989,4.8,325,Coffee shop,"{Monday, 7.00 am–2.00 am; Tuesday, 7.00 am–2.00 am; Wednesday, 7.00 am–2.00 am; Thursday, 7.00 am–2.00 am; Friday, 7.00 am–2.00 am; Saturday, 7.00 am–2.00 am; Sunday, 7.00 am–2.00 am}"
14,Mr.LIKE,"Jl. Gambir, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",85175222343,4.6,677,Coffee shop,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
15,OPPIO,"Jl. Nglengkong Besi No.11, Area Sawah, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81239999082,4.3,834,Coffee shop,"{Monday, 2.00–10.00 pm; Tuesday, Closed; Wednesday, 2.00–10.00 pm; Thursday, 2.00–10.00 pm; Friday, 2.00–10.00 pm; Saturday, 2.00–10.00 pm; Sunday, 2.00–10.00 pm}"
16,"PETSAGA YOGYAKARTA - Cat Cafe, Cat Hotel & Pet Grooming","Jl. Sorosutan No.6B, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55162",,4.7,507,Coffee shop,"{Monday, 10.00 am–7.00 pm; Tuesday, 10.00 am–7.00 pm; Wednesday, 10.00 am–7.00 pm; Thursday, 10.00 am–7.00 pm; Friday, 10.00 am–7.00 pm; Saturday, 10.00 am–7.00 pm; Sunday, 10.00 am–7.00 pm}"
17,SUA Coffee Malioboro,"Jl Kemetiran Lor GT II/671, Gedongtengen, Pringgokusuman, Gedong Tengen, Special Region of Yogyakarta 55272",81290902648,4.5,758,Coffee shop,"{Monday, 8.00 am–12.00 pm, 4.00 pm–12.00 am; Tuesday, 8.00 am–12.00 pm, 4.00 pm–12.00 am; Wednesday, 8.00 am–12.00 pm, 4.00 pm–12.00 am; Thursday, 8.00 am–12.00 pm, 4.00 pm–12.00 am; Friday, 8.00 am–12.00 pm, 4.00 pm–12.00 am; Saturday, 8.00 am–12.00 pm, 4.00 pm–12.00 am; Sunday, 8.00 am–12.00 pm, 4.00 pm–12.00 am}"
18,TEMANLAMA JOGJA,"Jl. Suroto No.5A, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",81947380001,4.4,238,Coffee shop,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
19,Toko Kopi Sedaya,"Jl. Prayan I No.80 C, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",85179676355,4.9,680,Coffee shop,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
20,UD. Djaya Coffee - Jakal,"Jl. Pandega Karya No.2, RT.011/RW.005, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",89651642722,4.9,967,Coffee shop,"{Monday, 7.00 am–12.00 am; Tuesday, 7.00 am–12.00 am; Wednesday, 7.00 am–12.00 am; Thursday, 7.00 am–12.00 am; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
21,VRTX Compound Space,"Jl. Margo Utomo No.38, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",85328880308,4.8,404,Coffee shop,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
22,WONK Cafe,"Jl. Raya Wedomartani No.29A, RT.20/RW.67, Malangrejo, Sono Raya, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",81326696533,4.9,184,Coffee shop,"{Monday, 8.00 am–1.00 am; Tuesday, 8.00 am–1.00 am; Wednesday, 8.00 am–1.00 am; Thursday, 8.00 am–1.00 am; Friday, 8.00 am–2.00 am; Saturday, 8.00 am–2.00 am; Sunday, 8.00 am–1.00 am}"
